Date,State/UnionTerritory,Cured,Deaths,Confirmed
30-01-2020,Kerala,0,0,1
31-01-2020,Kerala,0,0,1
01-02-2020,Kerala,0,0,2
02-02-2020,Kerala,0,0,3
03-02-2020,Kerala,0,0,3
04-02-2020,Kerala,0,0,3
05-02-2020,Kerala,0,0,3
06-02-2020,Kerala,0,0,3
07-02-2020,Kerala,0,0,3
08-02-2020,Kerala,0,0,3
09-02-2020,Kerala,0,0,3
10-02-2020,Kerala,0,0,3
11-02-2020,Kerala,0,0,3
12-02-2020,Kerala,0,0,3
13-02-2020,Kerala,0,0,3
14-02-2020,Kerala,0,0,3
15-02-2020,Kerala,0,0,3
16-02-2020,Kerala,0,0,3
17-02-2020,Kerala,0,0,3
18-02-2020,Kerala,0,0,3
19-02-2020,Kerala,0,0,3
20-02-2020,Kerala,0,0,3
21-02-2020,Kerala,0,0,3
22-02-2020,Kerala,0,0,3
23-02-2020,Kerala,0,0,3
24-02-2020,Kerala,0,0,3
25-02-2020,Kerala,0,0,3
26-02-2020,Kerala,0,0,3
27-02-2020,Kerala,0,0,3
28-02-2020,Kerala,0,0,3
29-02-2020,Kerala,0,0,3
01-03-2020,Kerala,0,0,3
02-03-2020,Telengana,0,0,1
02-03-2020,Kerala,0,0,3
02-03-2020,Delhi,0,0,1
